lake_id,lat,lon,year,froze,ice_on_date,ice_off_date,ice_on_doy,ice_off_doy
1,46.0863,-89.0831,1989,Y,1989-11-18,1990-04-19,78,230
1,46.0863,-89.0831,1990,Y,1990-12-01,1991-04-19,91,230
1,46.0863,-89.0831,1991,Y,1991-11-07,1992-04-29,67,241
1,46.0863,-89.0831,1992,Y,1992-11-15,1993-04-30,75,241
1,46.0863,-89.0831,1993,Y,1993-11-26,1994-04-22,86,233
1,46.0863,-89.0831,1994,Y,1994-11-26,1995-04-24,86,235
1,46.0863,-89.0831,1995,Y,1995-11-09,1996-05-15,69,257
1,46.0863,-89.0831,1996,Y,1996-11-13,1997-04-29,73,240
1,46.0863,-89.0831,1997,Y,1997-11-17,1998-04-10,77,221
1,46.0863,-89.0831,1998,Y,1998-12-09,1999-04-15,99,226
1,46.0863,-89.0831,1999,Y,1999-11-30,2000-04-02,90,214
1,46.0863,-89.0831,2000,Y,2000-11-22,2001-04-23,82,234
1,46.0863,-89.0831,2001,Y,2001-12-15,2002-04-19,105,230
1,46.0863,-89.0831,2002,Y,2002-11-16,2003-04-19,76,230
1,46.0863,-89.0831,2003,Y,2003-11-27,2004-04-22,87,234
1,46.0863,-89.0831,2004,Y,2004-11-25,2005-04-12,85,223
1,46.0863,-89.0831,2005,Y,2005-11-24,2006-04-15,84,226
1,46.0863,-89.0831,2006,Y,2006-12-01,2007-04-18,91,229
1,46.0863,-89.0831,2007,Y,2007-11-22,2008-05-02,82,244
1,46.0863,-89.0831,2008,Y,2008-11-22,2009-04-26,82,237
1,46.0863,-89.0831,2009,Y,2009-12-05,2010-03-31,95,211
1,46.0863,-89.0831,2010,Y,2010-11-28,2011-04-13,88,224
1,46.0863,-89.0831,2011,NA,NA,2012-03-20,NA,201
1,46.0863,-89.0831,2012,Y,2012-11-26,2012-11-29,86,89
1,46.0863,-89.0831,2013,NA,NA,2014-05-10,NA,251
1,46.0863,-89.0831,2014,Y,2014-11-10,NA,70,NA
1,46.0863,-89.0831,2015,NA,NA,2016-04-17,NA,229
1,46.0863,-89.0831,2016,NA,NA,2017-04-14,NA,225
1,46.0863,-89.0831,2017,Y,2017-11-20,NA,80,NA
1,46.0863,-89.0831,2018,Y,2018-11-13,NA,73,NA
1,46.0863,-89.0831,2020,Y,2020-11-24,2021-04-05,84,216
1,46.0863,-89.0831,2021,Y,2021-11-23,NA,83,NA
1,46.0863,-89.0831,2024,NA,NA,2025-04-26,NA,237
2,46.2076,-94.5442,1989,Y,1989-11-25,1990-04-20,85,231
2,46.2076,-94.5442,1990,Y,1990-12-02,1991-04-10,92,221
2,46.2076,-94.5442,1991,Y,1991-11-25,1992-04-14,85,226
2,46.2076,-94.5442,1992,Y,1992-11-27,1993-04-21,87,232
2,46.2076,-94.5442,1993,Y,1993-11-27,1994-04-18,87,229
2,46.2076,-94.5442,1994,Y,1994-11-30,1995-04-14,90,225
2,46.2076,-94.5442,1995,Y,1995-11-24,1996-05-03,84,245
2,46.2076,-94.5442,1996,Y,1996-11-14,1997-04-22,74,233
2,46.2076,-94.5442,1997,Y,1997-11-24,1998-04-06,84,217
2,46.2076,-94.5442,1998,Y,1998-12-21,1999-04-10,111,221
2,46.2076,-94.5442,1999,Y,1999-12-16,2000-03-28,106,209
2,46.2076,-94.5442,2000,Y,2000-12-02,2001-04-26,92,237
2,46.2076,-94.5442,2001,Y,2001-12-20,2002-04-17,110,228
2,46.2076,-94.5442,2002,Y,2002-11-26,2003-04-15,86,226
2,46.2076,-94.5442,2003,Y,2003-11-28,2004-04-14,88,226
2,46.2076,-94.5442,2004,Y,2004-12-14,2005-04-10,104,221
2,46.2076,-94.5442,2005,Y,2005-11-30,2006-04-10,90,221
2,46.2076,-94.5442,2006,Y,2006-11-30,2007-04-21,90,232
2,46.2076,-94.5442,2007,Y,2007-12-01,2008-05-06,91,248
2,46.2076,-94.5442,2008,Y,2008-12-08,2009-04-23,98,234
2,46.2076,-94.5442,2009,Y,2009-12-08,2010-04-02,98,213
2,46.2076,-94.5442,2010,Y,2010-11-27,2011-04-24,87,235
2,46.2076,-94.5442,2011,Y,2011-12-06,2012-03-23,96,204
2,46.2076,-94.5442,2013,Y,2013-11-27,2014-05-02,87,243
3,44.2363,-69.2152,1989,Y,1989-12-10,1990-04-11,100,222
3,44.2363,-69.2152,1990,Y,1991-01-01,1991-04-07,122,218
3,44.2363,-69.2152,1991,Y,1991-12-22,1992-04-14,112,226
3,44.2363,-69.2152,1992,Y,1992-12-24,1993-04-22,114,233
3,44.2363,-69.2152,1993,Y,1993-12-26,1994-04-18,116,229
3,44.2363,-69.2152,1994,Y,1994-12-30,1995-04-07,120,218
3,44.2363,-69.2152,1995,Y,1995-12-11,1996-04-11,101,223
3,44.2363,-69.2152,1996,Y,1996-12-28,1997-04-21,118,232
3,44.2363,-69.2152,1997,Y,1997-12-13,1998-03-10,103,190
3,44.2363,-69.2152,1998,Y,1998-12-29,1999-03-17,119,197
3,44.2363,-69.2152,1999,Y,1999-12-24,2000-04-04,114,216
3,44.2363,-69.2152,2000,Y,2000-12-10,2001-04-28,100,239
3,44.2363,-69.2152,2001,Y,2002-02-01,2002-04-04,153,215
3,44.2363,-69.2152,2002,Y,2002-12-07,2003-04-24,97,235
3,44.2363,-69.2152,2003,Y,2003-12-21,2004-04-15,111,227
3,44.2363,-69.2152,2004,Y,2004-12-28,2005-04-18,118,229
3,44.2363,-69.2152,2005,Y,2005-12-18,2006-04-02,108,213
3,44.2363,-69.2152,2006,Y,2007-01-18,2007-04-27,139,238
3,44.2363,-69.2152,2007,Y,2007-12-13,2008-04-19,103,231
3,44.2363,-69.2152,2008,Y,2008-12-19,2009-04-14,109,225
3,44.2363,-69.2152,2009,Y,2009-12-31,2010-03-23,121,203
3,44.2363,-69.2152,2010,Y,2011-01-04,NA,125,NA
3,44.2363,-69.2152,2013,NA,NA,2014-04-14,NA,225
3,44.2363,-69.2152,2014,Y,2015-01-01,NA,122,NA
